Season,Crop,Avg_Yield,Avg_Profit,Avg_Water_Efficiency,Avg_Yield_Score,Avg_Profit_Score,Avg_Water_Efficiency_Score,Overall_Score
Kharif,Sugarcane,53.459120000000006,1000790.808,36.003912,1.0,1.0,1.0,1.0
Rabi,Sugarcane,43.9403937007874,730402.1968503937,27.855196850393703,0.8197449522106324,0.7798192406764568,0.7638174693052424,0.787554123216522
Zaid,Sugarcane,38.42392156862745,583635.8039215687,23.39078431372549,0.7152801407900684,0.6603055684812689,0.6344208427675428,0.6696463706005059
Kharif,Chilli,1.7314130434782609,959406.8423913043,3.272358695652174,0.020438239698778414,0.9663005296976048,0.05130797296740369,0.3430685047097237
Rabi,Chilli,1.461614906832298,641572.546583851,2.9013478260869565,0.01532910277374431,0.7074841679713777,0.040554586147469346,0.25231693863602983
Zaid,Chilli,1.177741935483871,432267.8064516129,2.2094032258064518,0.009953432289264333,0.537044753321497,0.020499249349653074,0.1874791460304333
Kharif,Cotton,1.372803738317757,216142.67289719626,2.133878504672897,0.01364729567880321,0.3610514087327935,0.01831023924930607,0.12987605380059097
Kharif,Groundnut,1.4836458333333333,108373.53645833333,3.5813124999999997,0.015746299947447754,0.2732936803585675,0.06026269650834965,0.11587251031382392
Kharif,Maize,2.9664102564102564,-39332.67094017094,6.054615384615384,0.043825242816538774,0.153014705724503,0.13194895915692542,0.10981982913189842
Rabi,Cotton,1.1929145728643216,106995.29648241206,1.9387386934673367,0.010240754814372562,0.27217136265761777,0.012654302871157772,0.09749846174195047
Kharif,Pulses,1.0360633484162896,43338.89592760181,3.3524479638009046,0.007270480843889807,0.22033517565857766,0.05362928199411229,0.09334382252381244
Rabi,Maize,2.6149130434782606,-87830.87826086956,5.439969565217392,0.0371689796860265,0.11352202122014828,0.11413405184440456,0.08853360792613524
Rabi,Groundnut,1.2214450867052022,9252.208092485549,2.9006184971098268,0.01078103394145163,0.19257796806595523,0.04053344726110934,0.08088984273122143
Kharif,Wheat,2.255429553264605,-106005.80756013746,4.7613264604811,0.030361481322163326,0.0987219535813884,0.09446424587224354,0.07471537711473487
Rabi,Pulses,0.8718867924528302,-14432.542452830188,2.7010377358490567,0.0041614878955858765,0.1732911854707708,0.034748794293477714,0.07037397227068014
Rabi,Wheat,2.058813559322034,-120140.45762711864,4.690271186440678,0.026638186390655114,0.08721193482990143,0.09240477832012435,0.06898816463162594
Kharif,Rice,2.707620578778135,-65529.82958199357,2.174871382636656,0.03892457183991537,0.1316820384300054,0.01949837768342593,0.06292962980143867
Zaid,Groundnut,1.0377777777777777,-68872.5,2.465259259259259,0.007302946799604081,0.12896006094849907,0.02791498598603877,0.05445788779212723
Zaid,Maize,2.297590361445783,-191072.2048192771,4.792867469879518,0.031159875797920573,0.029451343914059538,0.09537843114975265,0.05243036909586934
Rabi,Rice,2.3336802973977693,-95167.3717472119,1.854007434944238,0.03184330685006445,0.10754782467493466,0.010198450298141508,0.04946654650461782
Zaid,Cotton,0.9516483516483516,-50129.58241758242,1.502142857142857,0.005671923558152673,0.1442226484061931,0.0,0.0494652087482341
Zaid,Wheat,1.7485882352941176,-193208.95294117648,4.017,0.020763484371672823,0.027711363735298797,0.07289067214043982,0.04077952840305017
Zaid,Pulses,0.6521311475409837,-139145.54098360657,1.9728688524590163,0.0,0.07173586256987777,0.013643532114747024,0.028311635567073654
Zaid,Rice,1.9004901960784313,-227239.3431372549,1.5330686274509804,0.02364003469361454,0.0,0.0008963531748204832,0.008105971528331764
